"gene_id","gene_name","chromosome","locus","rpkm"
,"Ncoa2",1,"chr1:13129239-13364164",9.72515
,"Tram1",1,"chr1:13554782-13579945",64.2562
,"Lactb2",1,"chr1:13615979-13650590",10.7274
,"Xkr9",1,"chr1:13658851-13691804",0.008928
,"Gm5523",1,"chr1:13775765-13777010",0.059045
,"Eya1",1,"chr1:14159038-14300280",1.89857
,"Msc",1,"chr1:14743428-14746047",5.54486
,"Trpa1",1,"chr1:14862728-14908943",0.087161
,"Kcnb2",1,"chr1:15302532-15704295",0.05424
,"Terf1",1,"chr1:15795738-15833510",20.697
,"Gm106",1,"chr1:15843942-15882803",0.568244
,"4930444P10Rik",1,"chr1:16056059-16083122",0.029912
,"Rpl7",1,"chr1:16091375-16094514",84.8665
,"Rdh10",1,"chr1:16095962-16122631",10.9573
,"Stau2",1,"chr1:16218890-16509383",2.034571
,"Ube2w",1,"chr1:16559486-16609367",23.0731
,"Tceb1",1,"chr1:16632845-16646946",44.5824
,"D030040B21Rik",1,"chr1:16647632-16652359",0
,"Tmem70",1,"chr1:16655271-16668356",20.796625
,"Ly96",1,"chr1:16678536-16699686",26.47995
,"Jph1",1,"chr1:16985020-17087970",0.324163
,"Gdap1",1,"chr1:17135453-17154351",0.037084
,"Pi15",1,"chr1:17591981-17621020",0.963945
,"Crispld1",1,"chr1:17717497-17756288",2.99381
,"Crisp4",1,"chr1:18105271-18127132",0
,"Defb44-ps",1,"chr1:18200133-18213645",0
,"Defb18",1,"chr1:18226553-18227524",0
,"Defb41",1,"chr1:18241058-18255219",0
,"Gm15386",1,"chr1:18250604-18255219",0
,"Tfap2d",1,"chr1:19093102-19156413",0
,"Tfap2b",1,"chr1:19198994-19228815",0.005289
,"Pkhd1",1,"chr1:20047859-20608138",0
,"4930486I03Rik",1,"chr1:20346534-20382381",0
,"Mir206",1,"chr1:20669090-20669163",0
,"Mir133b",1,"chr1:20672849-20672968",0
,"Il17a",1,"chr1:20720985-20724577",0
,"Il17f",1,"chr1:20767229-20774351",0.094943
,"Mcm3",1,"chr1:20793094-20810294",19.938
,"6720483E21Rik",1,"chr1:20878730-20880554",0.335451
,"Paqr8",1,"chr1:20880702-20928837",1.1347
,"Efhc1",1,"chr1:20941706-20980922",0.57547
,"Tram2",1,"chr1:20991458-21069306",3.399557
,"Tmem14a",1,"chr1:21208711-21220248",2.36881
,"Gsta3",1,"chr1:21230669-21255640",6.061943
,"Gm4956",1,"chr1:21275326-21288393",3.93874
,"Khdc1a",1,"chr1:21339757-21342280",0
,"Khdc1c",1,"chr1:21358411-21359824",0
,"Khdc1b",1,"chr1:21373636-21376465",0.007527
,"Kcnq5",1,"chr1:21388483-21952023",1.112772
,"Rims1",1,"chr1:22278502-22812563",0.004564
,"4933415F23Rik",1,"chr1:23107312-23109092",0
,"Mir30a",1,"chr1:23279107-23279178",0
,"Mir30c-2",1,"chr1:23298539-23298623",0
,"Ogfrl1",1,"chr1:23373262-23390014",16.1585
,"B3gat2",1,"chr1:23768764-23854697",1.21245
,"Smap1",1,"chr1:23852465-23929128",22.2145
,"1110058L19Rik",1,"chr1:24002777-24012479",32.7351
,"Fam135a",1,"chr1:24017596-24107180",2.99426
,"Col9a1",1,"chr1:24184448-24259577",0.00835
,"Col19a1",1,"chr1:24264521-24594276",0.093758
,"Lmbrd1",1,"chr1:24685382-24823146",24.7324
,"Bai3",1,"chr1:25124320-25886552",0.095459
,"Gm20172",1,"chr1:25333248-25334799",0
,"4931408C20Rik",1,"chr1:26738645-26744305",0.003727
,"Gm597",1,"chr1:28832966-28837097",0
,"Phf3",1,"chr1:30859186-30920101",15.8194
,"Ptp4a1",1,"chr1:30997147-31006600",2.01826
,"Gm13363",1,"chr1:30998436-31006555",0
,"4931428L18Rik",1,"chr1:31197922-31279501",0.017262
,"Lgsn",1,"chr1:31233279-31261570",0
,"4930521A18Rik",1,"chr1:31279683-31281132",0
,"Gm4850",1,"chr1:31321691-31324906",0
,"Khdrbs2",1,"chr1:32229650-32714583",0.026612
,"Gm9839",1,"chr1:32576407-32577844",0
,"Gm5415",1,"chr1:32600390-32604138",0.00868
,"Prim2",1,"chr1:33510655-33726603",10.3357
,"1700001G17Rik",1,"chr1:33726668-33727557",0.44834
,"Rab23",1,"chr1:33776740-33799409",2.747007
,"Bag2",1,"chr1:33802328-33814595",2.27125
,"Zfp451",1,"chr1:33818597-33871272",9.31526
,"Gm15455",1,"chr1:33892743-33895759",0.896966
,"Bend6",1,"chr1:33908896-33964466",1.25196
,"Dst",1,"chr1:34068669-34365497",3.650927
,"Mir5103",1,"chr1:34489965-34490044",17.1865
,"Ccdc115",1,"chr1:34493514-34496517",15.3934
,"Imp4",1,"chr1:34496673-34502592",20.3394
,"Ptpn18",1,"chr1:34516590-34530624",68.6834
,"Prss39",1,"chr1:34555274-34559907",0.752104
,"Cfc1",1,"chr1:34592492-34601156",0.092094
,"Prss40",1,"chr1:34609176-34617788",0
,"Fam123c",1,"chr1:34636537-34647789",0.011114
,"AA619741",1,"chr1:34690379-34693055",0.006221
,"Arhgef4",1,"chr1:34858566-34869599",4.57074
,"Fam168b",1,"chr1:34870062-34899895",42.37229
,"Plekhb2",1,"chr1:34906803-34936430",19.376118
,"Hs6st1",1,"chr1:36125244-36163291",13.7928
,"Uggt1",1,"chr1:36196872-36301147",12.4997
,"Neurl3",1,"chr1:36321446-36330270",36.0636
,"Arid5a",1,"chr1:36364577-36380874",9.905411
,"4632411B12Rik",1,"chr1:36392574-36426026",17.9699
,"Lman2l",1,"chr1:36480030-36502084",7.35736
,"Cnnm4",1,"chr1:36528441-36565621",2.39275
,"Cnnm3",1,"chr1:36568720-36585082",4.049571
,"Ankrd23",1,"chr1:36587378-36592574",5.87763
,"Ankrd39",1,"chr1:36595017-36604046",5.89874
,"Sema4c",1,"chr1:36605486-36615226",4.80107
,"Fam178b",1,"chr1:36619540-36740028",0.774858
,"Cox5b",1,"chr1:36748331-36750233",1.76376
,"Actr1b",1,"chr1:36756046-36766770",24.9887
,"4933424G06Rik",1,"chr1:36771382-36814805",0.083228
,"Zap70",1,"chr1:36818705-36839661",13.8979
,"Tmem131",1,"chr1:36849033-36996372",12.1733
,"Cnga3",1,"chr1:37276105-37320229",0.247475
,"Inpp4a",1,"chr1:37356737-37467580",9.05012
,"6330578E17Rik",1,"chr1:37473929-37486948",28.0676
,"Unc50",1,"chr1:37487016-37495969",43.4363
,"Mgat4a",1,"chr1:37496184-37593104",12.9093
,"4930594C11Rik",1,"chr1:37542695-37545450",0.988686
,"2010300C02Rik",1,"chr1:37668520-37776656",0.377432
,"Tsga10",1,"chr1:37811620-37921924",2.16079
,"Lipt1",1,"chr1:37929050-37933143",4.16425
,"Mitd1",1,"chr1:37935734-37947256",36.0843
,"Mrpl30",1,"chr1:37947397-37955178",59.4177
,"Lyg2",1,"chr1:37962767-37973338",0.006516
,"Lyg1",1,"chr1:38003582-38014604",0
,"Txndc9",1,"chr1:38040711-38054053",5.92253
,"Eif5b",1,"chr1:38054854-38112424",21.8033
,"Rev1",1,"chr1:38109630-38186507",8.97246
,"Aff3",1,"chr1:38234171-38721800",13.3567
,"Lonrf2",1,"chr1:38851353-38878060",0.018941
,"Chst10",1,"chr1:38920717-38955005",4.25785
,"Nms",1,"chr1:38995993-39007121",0
,"Pdcl3",1,"chr1:39044658-39054081",29.8963
,"Npas2",1,"chr1:39251116-39420085",0.301759
,"Rpl31",1,"chr1:39424695-39428755",8.237102
,"Tbc1d8",1,"chr1:39428341-39535592",18.4948
,"D1Bwg0212e",1,"chr1:39592646-39603722",10.8886
,"Snord89",1,"chr1:39605591-39605685",448.429
,"Rnf149",1,"chr1:39608143-39634192",13.9345
,"Creg2",1,"chr1:39675250-39708027",0.082486
,"Rfx8",1,"chr1:39722145-39777834",0.042804
,"Gm3646",1,"chr1:39860985-39862177",0
,"1700066B17Rik",1,"chr1:39899272-39904175",0
,"Map4k4",1,"chr1:39957757-40083155",26.437529
,"Gm16894",1,"chr1:40133056-40142696",0.140864
,"Il1r2",1,"chr1:40141612-40182070",2.69856
,"Il1r1",1,"chr1:40281924-40373022",8.39466
,"Il1rl2",1,"chr1:40381471-40422316",1.76997
,"Il1rl1",1,"chr1:40496493-40522259",0.588949
,"Il18r1",1,"chr1:40522396-40557699",11.095037
,"Il18rap",1,"chr1:40572206-40606142",4.44384
,"Slc9a4",1,"chr1:40637071-40687576",0.059519
,"Slc9a2",1,"chr1:40738556-40825730",0.084176
,"Mfsd9",1,"chr1:40828884-40847502",0.892126
,"Tmem182",1,"chr1:40862445-40912112",0.155008
,"4930448I06Rik",1,"chr1:41224404-41238097",0
,"2610017I09Rik",1,"chr1:42705044-42751670",0
,"Pou3f3",1,"chr1:42753990-42757054",0
,"2900092D14Rik",1,"chr1:42757180-42760021",0
,"Mrps9",1,"chr1:42908077-42962528",31.5612
,"Gpr45",1,"chr1:43009716-43092294",0.037865
,"Tgfbrap1",1,"chr1:43104113-43155467",6.44289
,"AI597479",1,"chr1:43155554-43172791",9.19629
,"Fhl2",1,"chr1:43179918-43220806",3.35931
,"Nck2",1,"chr1:43502595-43627363",4.54609
,"1500015O10Rik",1,"chr1:43787446-43799409",7.29615
,"Uxs1",1,"chr1:43807075-43884553",7.87932
,"Tpp2",1,"chr1:43990851-44059816",22.1619
,"A530098C11Rik",1,"chr1:44066252-44076851",0.191599
,"1700029F09Rik",1,"chr1:44143461-44159233",24.9549
,"Kdelc1",1,"chr1:44163390-44175618",8.42842
,"Bivm",1,"chr1:44176812-44201616",5.59141
,"Ercc5",1,"chr1:44204588-44238105",9.67924
,"4832428D23Rik",1,"chr1:44260914-44275776",0
,"Gulp1",1,"chr1:44608515-44853681",4.32758
,"4930521E06Rik",1,"chr1:44796519-44801794",0
,"Col3a1",1,"chr1:45368382-45406551",18.991
,"Col5a2",1,"chr1:45431175-45560127",3.43387
,"Wdr75",1,"chr1:45852345-45880458",27.4295
,"Slc40a1",1,"chr1:45964914-45982439",104.894
,"Gm3852",1,"chr1:46068391-46069108",0
,"Gm4776",1,"chr1:46077259-46087282",0
,"Dnahc7b",1,"chr1:46123582-46430395",0.016511
,"Slc39a10",1,"chr1:46864388-46910354",8.54675
,"Tmeff2",1,"chr1:50984366-51244114",0.142276
,"9330175M20Rik",1,"chr1:51275229-51390623",0.006549
,"Sdpr",1,"chr1:51345969-51359804",24.038
,"Obfc2a",1,"chr1:51526331-51535243",23.6584
,"Myo1b",1,"chr1:51806609-51972818",2.509774
,"Stat4",1,"chr1:52065087-52164028",29.5795
,"Stat1",1,"chr1:52176281-52218709",54.687138
,"Gls",1,"chr1:52220293-52290076",42.28164
,"Nab1",1,"chr1:52512692-52557292",11.3451
,"Tmem194b",1,"chr1:52687548-52708763",23.4419
,"Mfsd6",1,"chr1:52713147-52784162",3.313923
,"Inpp1",1,"chr1:52846263-52874532",16.0394
,"Hibch",1,"chr1:52901889-52977704",13.6204
,"1700019D03Rik",1,"chr1:52981970-53009684",0.194957
,"Mstn",1,"chr1:53118506-53124923",0.018618
,"1700019A02Rik",1,"chr1:53215420-53244461",0.072511
,"Pms1",1,"chr1:53246031-53353840",5.89728
,"Ormdl1",1,"chr1:53353938-53367089",12.715
,"Osgepl1",1,"chr1:53370506-53380908",10.377
,"Asnsd1",1,"chr1:53401487-53409543",51.9751
,"Dnahc7a",1,"chr1:53453845-53763628",0.008924
,"Stk17b",1,"chr1:53812355-53842059",160.723
,"Hecw2",1,"chr1:53863717-54251878",0.935043
,"Ccdc150",1,"chr1:54307526-54425571",0.192107
,"Gtf3c3",1,"chr1:54454424-54495815",5.39743
,"Pgap1",1,"chr1:54529843-54614528",6.05181
,"Ankrd44",1,"chr1:54702183-54983231",28.0878
,"Sf3b1",1,"chr1:55042012-55084322",156.505
,"Coq10b",1,"chr1:55109613-55129546",7.77926
,"Hspd1",1,"chr1:55134677-55144776",17.4728
,"Hspe1",1,"chr1:55144991-55148161",62.5928
,"Mob4",1,"chr1:55188088-55211743",20.8105
,"Rftn2",1,"chr1:55227003-55283626",1.83847
,"Mars2",1,"chr1:55294020-55296902",6.09888
,"Boll",1,"chr1:55356912-55420313",0.204073
,"Plcl1",1,"chr1:55462789-55811129",0.872027
,"9130227L01Rik",1,"chr1:55988084-56028942",0
,"Hsfy2",1,"chr1:56692892-56694295",0
,"Satb2",1,"chr1:56850824-57028178",0.272429
,"9130024F11Rik",1,"chr1:57028312-57032040",0.044381
,"BC055402",1,"chr1:57257488-57271840",0
,"4930558J18Rik",1,"chr1:57416065-57434388",0.599051
,"1700066M21Rik",1,"chr1:57434463-57442266",4.42241
,"1110034B05Rik",1,"chr1:57445087-57463518",10.256053
,"9430016H08Rik",1,"chr1:57463391-57472802",8.29878
,"Spats2l",1,"chr1:57831704-58005241",0.973599
,"Kctd18",1,"chr1:58011944-58026928",14.48437
,"Sgol2",1,"chr1:58042183-58083121",3.57202
,"Aox1",1,"chr1:58086812-58163254",1.53896
,"Aox3",1,"chr1:58169979-58257296",0.210968
,"Aox4",1,"chr1:58267240-58325440",0.106467
,"Aox3l1",1,"chr1:58335169-58436108",0.114394
,"Bzw1",1,"chr1:58449979-58463392",65.354
,"Clk1",1,"chr1:58468831-58480932",272.5761
,"Ppil3",1,"chr1:58487836-58502330",32.99814
,"Nif3l1",1,"chr1:58504476-58519120",10.5983
,"Orc2",1,"chr1:58519614-58561763",15.64762
,"Fam126b",1,"chr1:58579649-58643177",4.14382
,"Ndufb3",1,"chr1:58643442-58652792",81.7441
,"Gm20257",1,"chr1:58709484-58712675",10.3224
,"Als2cr12",1,"chr1:58714963-58752833",1.84862
,"Cflar",1,"chr1:58770129-58815726",20.5199
,"Casp8",1,"chr1:58852217-58904347",35.1885
,"Trak2",1,"chr1:58957293-59030326",18.952
,"Stradb",1,"chr1:59030414-59051965",13.4268
,"Als2cr11",1,"chr1:59107349-59151744",0.007979
,"Als2cr4",1,"chr1:59157436-59176940",2.548538
,"Mpp4",1,"chr1:59177778-59220233",0.148798
,"Als2",1,"chr1:59219599-59294075",3.926605
,"Cdk15",1,"chr1:59313750-59409213",0.156963
,"Fzd7",1,"chr1:59538990-59543799",1.45643
,"Gm973",1,"chr1:59573107-59691353",0.072573
,"Sumo1",1,"chr1:59696277-59727678",27.768
,"Nop58",1,"chr1:59741849-59768354",71.3573
,"Snord70",1,"chr1:59748801-59748854",124.666
,"Snord11",1,"chr1:59761651-59761714",288.802
,"Bmpr2",1,"chr1:59821480-59927703",1.88128
,"Fam117b",1,"chr1:59969849-60042190",9.63191
,"Ica1l",1,"chr1:60045911-60099931",0.410639
,"Wdr12",1,"chr1:60133711-60155344",9.51488
,"Carf",1,"chr1:60155124-60207878",2.87703
,"Nbeal1",1,"chr1:60237442-60391549",2.20625
,"Cyp20a1",1,"chr1:60400215-60444231",7.50163
,"Abi2",1,"chr1:60466462-60538007",2.91468
,"Raph1",1,"chr1:60540028-60623609",3.40565
,"Cd28",1,"chr1:60803231-60830203",14.967
,"Ctla4",1,"chr1:60965868-60972674",7.73637
,"Icos",1,"chr1:61034757-61057164",9.74253
,"9530026F06Rik",1,"chr1:61435275-61452748",0
,"Pard3b",1,"chr1:61685397-62688858",0.911287
,"Nrp2",1,"chr1:62749890-62865266",4.299991
,"4930487H11Rik",1,"chr1:62837491-62841306",0.400009
,"Ino80d",1,"chr1:63094374-63160841",10.07963
,"Gm11602",1,"chr1:63161044-63204869",3.378092
,"Ndufs1",1,"chr1:63190165-63223396",41.546221
,"Eef1b2",1,"chr1:63223404-63227060",425.764
,"Snora41",1,"chr1:63225596-63225709",149.687
,"Gpr1",1,"chr1:63229267-63260783",0.010988
,"Zdbf2",1,"chr1:63319842-63361149",0.019825
,"Adam23",1,"chr1:63492477-63643089",8.504455
,"Dytn",1,"chr1:63669424-63733501",0
,"Mdh1b",1,"chr1:63745400-63776892",0
,"Fastkd2",1,"chr1:63777198-63799959",11.5569
,"4933402D24Rik",1,"chr1:63801482-63815841",0.079244
,"Gm13749",1,"chr1:64011300-64015573",0.12516
,"Klf7",1,"chr1:64082246-64167963",4.54244
,"Creb1",1,"chr1:64579377-64651122",21.09739
,"Mettl21a",1,"chr1:64653053-64663742",4.81596
,"2810408I11Rik",1,"chr1:64726442-64737233",4.79333
,"Ccnyl1",1,"chr1:64737918-64772216",1.56564
,"Fzd5",1,"chr1:64777131-64784324",1.321009
,"Plekhm3",1,"chr1:64835694-65003398",7.6059
,"Akr1cl",1,"chr1:65059659-65079322",1.57831
,"Cryge",1,"chr1:65095130-65097737",0
,"Crygd",1,"chr1:65108411-65110014",0
,"Crygc",1,"chr1:65118105-65120095",0
,"Crygb",1,"chr1:65126800-65128841",0
,"Cryga",1,"chr1:65146962-65149937",0
,"D630023F18Rik",1,"chr1:65153886-65169767",0.054471
,"Idh1",1,"chr1:65205189-65233053",30.38902
,"Pikfyve",1,"chr1:65233258-65325270",9.5075
,"Pth2r",1,"chr1:65357830-65435818",0.048707
,"Crygf",1,"chr1:65973095-65974878",0
,"Mtap2",1,"chr1:66221902-66489157",1.65531
,"Unc80",1,"chr1:66515020-66745722",0.011543
,"Rpe",1,"chr1:66747466-66766379",24.0159
,"1110028C15Rik",1,"chr1:66765816-66864169",7.3271
,"Acadl",1,"chr1:66877426-66909841",32.1335
,"Myl1",1,"chr1:66970869-66991630",0.175307
,"Lancl1",1,"chr1:67047090-67085446",9.698417
,"Cps1",1,"chr1:67169639-67277022",0
,"Erbb4",1,"chr1:68086539-69154633",0
,"Ikzf2",1,"chr1:69577783-69732534",5.09108
,"Spag16",1,"chr1:69873561-70771706",0.008
,"Vwc2l",1,"chr1:70772288-70931971",0
,"Bard1",1,"chr1:71074108-71149546",1.91851
,"Abca12",1,"chr1:71289663-71461484",0.009475
,"Atic",1,"chr1:71603729-71625977",32.7821
,"Fn1",1,"chr1:71632096-71699745",10.3033
,"Apol7d",1,"chr1:71699908-71709417",0.015536
,"Gm8883",1,"chr1:71934685-71937778",0
,"4933417E11Rik",1,"chr1:72005571-72051769",0
,"Mreg",1,"chr1:72205806-72258881",5.50891
,"Pecr",1,"chr1:72305746-72330888",8.45792
,"Tmem169",1,"chr1:72330946-72349569",0.064791
,"Xrcc5",1,"chr1:72353994-72441527",15.6985
,"March4",1,"chr1:72473685-72583138",0.065652
,"Smarcal1",1,"chr1:72629824-72683364",5.26192
,"Ankar",1,"chr1:72689553-72747138",0.014083
,"Rpl37a",1,"chr1:72757833-72760387",8.9829
,"Igfbp2",1,"chr1:72871053-72899045",2.39484
,"Igfbp5",1,"chr1:72904638-72921439",15.3237
,"Tnp1",1,"chr1:73061648-73062473",0
,"1700027A15Rik",1,"chr1:73062609-73072082",0
,"Pinc",1,"chr1:73437958-73454143",0
,"D530049I02Rik",1,"chr1:73445541-73477353",0
,"6030407O03Rik",1,"chr1:73664954-73911040",0.019253
,"Tns1",1,"chr1:73956804-74171021",8.33089
,"Rufy4",1,"chr1:74172114-74194804",0.768121
,"Cxcr2",1,"chr1:74200567-74207820",2.76283
,"Cxcr1",1,"chr1:74238359-74241205",0.083499
,"Arpc2",1,"chr1:74283123-74314787",253.861
,"Gpbar1",1,"chr1:74325173-74326163",0
,"Aamp",1,"chr1:74326413-74331312",66.70902
,"Pnkd",1,"chr1:74331607-74400266",3.968861
,"Tmbim1",1,"chr1:74334820-74350910",13.9307
,"Gm216",1,"chr1:74408681-74415895",0.226951
,"Slc11a1",1,"chr1:74421776-74432625",13.3121
,"Ctdsp1",1,"chr1:74438182-74443859",45.1802
,"Mir26b",1,"chr1:74440883-74440968",12.6762
,"Vil1",1,"chr1:74455957-74482134",0.068658
,"Usp37",1,"chr1:74482083-74590860",7.41932
,"Rqcd1",1,"chr1:74552633-74577416",19.1927
,"Plcd4",1,"chr1:74589462-74612551",0.11309
,"Zfp142",1,"chr1:74611701-74634602",4.01417
,"Bcs1l",1,"chr1:74634934-74639017",7.40791
,"Rnf25",1,"chr1:74640325-74647971",29.5917
,"Stk36",1,"chr1:74648028-74683467",0.110098
,"Ttll4",1,"chr1:74708327-74744547",6.04037
,"Cyp27a1",1,"chr1:74760147-74784464",37.7523
,"Prkag3",1,"chr1:74785495-74795529",0.169709
,"Wnt6",1,"chr1:74818465-74831893",0.61041
,"Wnt10a",1,"chr1:74838592-74850749",0.918826
,"Cdk5r2",1,"chr1:74901602-74904306",0
,"Fev",1,"chr1:74928082-74931982",0
,"Cryba2",1,"chr1:74936517-74939709",0
,"Mir375",1,"chr1:74947231-74947295",0
,"Ccdc108",1,"chr1:74948653-74982173",0
,"Ihh",1,"chr1:74991891-74998225",0.109841
,"Nhej1",1,"chr1:75013919-75121800",6.65363
,"Slc23a3",1,"chr1:75122115-75130464",0.489301
,"1810031K17Rik",1,"chr1:75131788-75138942",24.1728
,"Fam134a",1,"chr1:75139359-75144483",19.6328
,"Zfand2b",1,"chr1:75165219-75168200",19.03434
,"Abcb6",1,"chr1:75168214-75176857",2.55854
,"Atg9a",1,"chr1:75177439-75188497",6.40312
,"Ankzf1",1,"chr1:75188708-75195960",29.0436
,"Glb1l",1,"chr1:75194809-75207353",5.02696
,"Stk16",1,"chr1:75207403-75212181",16.5241
,"Tuba4a",1,"chr1:75211548-75215828",49.5815
,"A630095N17Rik",1,"chr1:75216669-75228668",0.034546
,"Dnajb2",1,"chr1:75232997-75242267",7.847446
,"Ptprn",1,"chr1:75243615-75260783",0.267815
,"Resp18",1,"chr1:75268776-75274955",0
,"Dnpep",1,"chr1:75305139-75314212",25.85173
,"Des",1,"chr1:75356918-75364290",32.6419
,"Gm15179",1,"chr1:75364784-75371590",0.065006
,"Speg",1,"chr1:75371871-75428881",4.123836
,"Gmppa",1,"chr1:75432517-75439751",23.904
,"Accn4",1,"chr1:75447084-75470915",0.025149
,"Chpf",1,"chr1:75471143-75476046",6.448966
,"Tmem198",1,"chr1:75476106-75482268",0.861577
,"Obsl1",1,"chr1:75482399-75503027",0.771111
,"Inha",1,"chr1:75503651-75506929",0.793533
,"Stk11ip",1,"chr1:75518103-75533910",11.9363
,"Slc4a3",1,"chr1:75542840-75556006",1.10729
,"Gm17751",1,"chr1:76485707-76498603",0
,"Epha4",1,"chr1:77363759-77511663",0.080386
,"Pax3",1,"chr1:78097841-78193711",0
,"Sgpp2",1,"chr1:78306920-78416861",1.73115
,"Farsb",1,"chr1:78421410-78485421",43.0978
,"Mogat1",1,"chr1:78507634-78534748",0.12268
,"Utp14b",1,"chr1:78654399-78664176",1.28739
,"Acsl3",1,"chr1:78654399-78704318",4.413158
,"Kcne4",1,"chr1:78813523-78816600",5.08508
,"Scg2",1,"chr1:79431243-79436665",0.020225
,"Ap1s3",1,"chr1:79603450-79668547",5.4334
,"Wdfy1",1,"chr1:79698836-79758344",8.72626
,"Mrpl44",1,"chr1:79772592-79778020",17.3223
,"Serpine2",1,"chr1:79790895-79855240",6.52905
,"Fam124b",1,"chr1:80195273-80210519",0.497597
,"Cul3",1,"chr1:80263392-80337005",44.0642
,"1700016L21Rik",1,"chr1:80442506-80472235",0
,"Dock10",1,"chr1:80497647-80755128",39.1165
,"9430031J16Rik",1,"chr1:81073891-81268226",0
,"Irs1",1,"chr1:82229679-82288014",1.54039
,"Rhbdd1",1,"chr1:82313153-82441941",5.407722
,"Col4a4",1,"chr1:82447297-82583424",0.384412
,"Col4a3",1,"chr1:82583495-82718634",0.351444
,"Mff",1,"chr1:82721492-82748964",65.7735
,"Tm4sf20",1,"chr1:82753223-82765031",0.082829
,"Agfg1",1,"chr1:82836057-82892850",27.1156
,"Slc19a3",1,"chr1:83009097-83035023",0.172118
,"Ccl20",1,"chr1:83113340-83115742",0.025794
,"Wdr69",1,"chr1:83156336-83207147",0.107005
,"Sphkap",1,"chr1:83252355-83404775",0.099991
,"Pid1",1,"chr1:84032867-84281220",4.1584
,"Dner",1,"chr1:84366413-84692796",0.05833
,"Mir5126",1,"chr1:84692413-84692490",0
,"Trip12",1,"chr1:84717763-84835879",27.5033
,"Fbxo36",1,"chr1:84836415-84897061",0.83841
,"Slc16a14",1,"chr1:84903279-84931658",0.06452
,"A530032D15Rik",1,"chr1:85084713-85106428",4.42628
,"Gm7609",1,"chr1:85196185-85210337",0.721072
,"C130026I21Rik",1,"chr1:85242918-85267141",1.616924
,"Sp110",1,"chr1:87473474-87500466",20.727433
,"Sp140",1,"chr1:87497277-87541611",12.0337
,"Sp100",1,"chr1:87546624-87606023",84.1446
,"A630001G21Rik",1,"chr1:87613657-87633181",50.1724
,"Cab39",1,"chr1:87690021-87748152",53.6338
,"Itm2c",1,"chr1:87791084-87805273",52.4624
,"4933407L21Rik",1,"chr1:87825057-87828331",0.211585
,"Gpr55",1,"chr1:87836111-87857630",5.14571
,"Spata3",1,"chr1:87918516-87926533",0
,"2810459M11Rik",1,"chr1:87942437-87952031",0.093538
,"Psmd1",1,"chr1:87961193-88035870",32.0406
,"Htr2b",1,"chr1:87995611-88008545",0.082311
,"Armc9",1,"chr1:88051354-88174859",4.435591
,"B3gnt7",1,"chr1:88199795-88203880",1.00978
,"Ncl",1,"chr1:88241293-88256030",88.2009
,"Snora75",1,"chr1:88247744-88247860",105.457
,"Snord82",1,"chr1:88252834-88252902",6537.41
,"C130036L24Rik",1,"chr1:88256148-88264539",1.21546
,"Nmur1",1,"chr1:88282899-88284716",0
,"1700019O17Rik",1,"chr1:88322903-88324624",0
,"Ptma",1,"chr1:88423310-88427273",26.2518
,"Pde6d",1,"chr1:88439589-88479076",18.9614
,"Cops7b",1,"chr1:88483674-88503075",14.8532
,"Nppc",1,"chr1:88562867-88567148",0.018331
,"Dis3l2",1,"chr1:88600378-88946672",5.94155
