"gene_id","gene_name","chromosome","count","locus"
,"Col19a1",1,8,"chr1:24264521-24594276"
,"Lmbrd1",1,141,"chr1:24685382-24823146"
,"Bai3",1,0,"chr1:25124320-25886552"
,"Gm20172",1,0,"chr1:25333248-25334799"
,"4931408C20Rik",1,0,"chr1:26738645-26744305"
,"Gm597",1,0,"chr1:28832966-28837097"
,"Phf3",1,586,"chr1:30859186-30920101"
,"Ptp4a1",1,40,"chr1:30997147-31006600"
,"Gm13363",1,0,"chr1:30998436-31006555"
,"4931428L18Rik",1,0,"chr1:31197922-31279501"
,"Lgsn",1,0,"chr1:31233279-31261570"
,"4930521A18Rik",1,0,"chr1:31279683-31281132"
,"Gm4850",1,0,"chr1:31321691-31324906"
,"Khdrbs2",1,0,"chr1:32229650-32714583"
,"Gm9839",1,0,"chr1:32576407-32577844"
,"Gm5415",1,0,"chr1:32600390-32604138"
,"Prim2",1,205,"chr1:33510655-33726603"
,"1700001G17Rik",1,0,"chr1:33726668-33727557"
,"Rab23",1,10,"chr1:33776740-33799409"
,"Bag2",1,153,"chr1:33802328-33814595"
,"Zfp451",1,91,"chr1:33818597-33871272"
,"Gm15455",1,3,"chr1:33892743-33895759"
,"Bend6",1,15,"chr1:33908896-33964466"
,"Dst",1,260,"chr1:34068669-34365497"
,"Mir5103",1,0,"chr1:34489965-34490044"
,"Ccdc115",1,67,"chr1:34493514-34496517"
,"Imp4",1,96,"chr1:34496673-34502592"
,"Ptpn18",1,77,"chr1:34516590-34530624"
,"Prss39",1,2,"chr1:34555274-34559907"
,"Cfc1",1,0,"chr1:34592492-34601156"
,"Prss40",1,0,"chr1:34609176-34617788"
,"Fam123c",1,0,"chr1:34636537-34647789"
,"AA619741",1,0,"chr1:34690379-34693055"
,"Arhgef4",1,13,"chr1:34858566-34869599"
,"Fam168b",1,714,"chr1:34870062-34899895"
,"Plekhb2",1,229,"chr1:34906803-34936430"
,"Hs6st1",1,146,"chr1:36125244-36163291"
,"Uggt1",1,397,"chr1:36196872-36301147"
,"Neurl3",1,145,"chr1:36321446-36330270"
,"Arid5a",1,115,"chr1:36364577-36380874"
,"4632411B12Rik",1,271,"chr1:36392574-36426026"
,"Lman2l",1,38,"chr1:36480030-36502084"
,"Cnnm4",1,23,"chr1:36528441-36565621"
,"Cnnm3",1,69,"chr1:36568720-36585082"
,"Ankrd23",1,11,"chr1:36587378-36592574"
,"Ankrd39",1,17,"chr1:36595017-36604046"
,"Sema4c",1,29,"chr1:36605486-36615226"
,"Fam178b",1,0,"chr1:36619540-36740028"
,"Cox5b",1,1,"chr1:36748331-36750233"
,"Actr1b",1,93,"chr1:36756046-36766770"
,"4933424G06Rik",1,0,"chr1:36771382-36814805"
,"Zap70",1,51,"chr1:36818705-36839661"
,"Tmem131",1,402,"chr1:36849033-36996372"
,"Cnga3",1,14,"chr1:37276105-37320229"
,"Inpp4a",1,102,"chr1:37356737-37467580"
,"6330578E17Rik",1,738,"chr1:37473929-37486948"
,"Unc50",1,109,"chr1:37487016-37495969"
,"Mgat4a",1,146,"chr1:37496184-37593104"
,"4930594C11Rik",1,6,"chr1:37542695-37545450"
,"2010300C02Rik",1,1,"chr1:37668520-37776656"
,"Tsga10",1,3,"chr1:37811620-37921924"
,"Lipt1",1,10,"chr1:37929050-37933143"
,"Mitd1",1,105,"chr1:37935734-37947256"
,"Mrpl30",1,9,"chr1:37947397-37955178"
,"Lyg2",1,0,"chr1:37962767-37973338"
,"Lyg1",1,0,"chr1:38003582-38014604"
,"Txndc9",1,74,"chr1:38040711-38054053"
,"Eif5b",1,339.969,"chr1:38054854-38112424"
,"Rev1",1,179.031,"chr1:38109630-38186507"
,"Aff3",1,135,"chr1:38234171-38721800"
,"Lonrf2",1,1,"chr1:38851353-38878060"
,"Chst10",1,19,"chr1:38920717-38955005"
,"Nms",1,0,"chr1:38995993-39007121"
,"Pdcl3",1,133,"chr1:39044658-39054081"
,"Npas2",1,7,"chr1:39251116-39420085"
,"Rpl31",1,37.2541,"chr1:39424695-39428755"
,"Tbc1d8",1,192.746,"chr1:39428341-39535592"
,"D1Bwg0212e",1,82,"chr1:39592646-39603722"
,"Snord89",1,0,"chr1:39605591-39605685"
,"Rnf149",1,57,"chr1:39608143-39634192"
,"Creg2",1,2,"chr1:39675250-39708027"
,"Rfx8",1,0,"chr1:39722145-39777834"
,"Gm3646",1,0,"chr1:39860985-39862177"
,"1700066B17Rik",1,0,"chr1:39899272-39904175"
,"Map4k4",1,199,"chr1:39957757-40083155"
,"Gm16894",1,0,"chr1:40133056-40142696"
,"Il1r2",1,1,"chr1:40141612-40182070"
,"Il1r1",1,53,"chr1:40281924-40373022"
,"Il1rl2",1,4,"chr1:40381471-40422316"
,"Il1rl1",1,88,"chr1:40496493-40522259"
,"Il18r1",1,83,"chr1:40522396-40557699"
,"Il18rap",1,21,"chr1:40572206-40606142"
,"Slc9a4",1,0,"chr1:40637071-40687576"
,"Slc9a2",1,4,"chr1:40738556-40825730"
,"Mfsd9",1,51,"chr1:40828884-40847502"
,"Tmem182",1,0,"chr1:40862445-40912112"
,"4930448I06Rik",1,0,"chr1:41224404-41238097"
,"2610017I09Rik",1,0,"chr1:42705044-42751670"
,"Pou3f3",1,0,"chr1:42753990-42757054"
,"2900092D14Rik",1,0,"chr1:42757180-42760021"
,"Mrps9",1,85,"chr1:42908077-42962528"
,"Gpr45",1,0,"chr1:43009716-43092294"
,"Tgfbrap1",1,120,"chr1:43104113-43155467"
,"AI597479",1,96,"chr1:43155554-43172791"
,"Fhl2",1,7,"chr1:43179918-43220806"
,"Nck2",1,4,"chr1:43502595-43627363"
,"1500015O10Rik",1,11,"chr1:43787446-43799409"
,"Uxs1",1,22,"chr1:43807075-43884553"
,"Tpp2",1,255,"chr1:43990851-44059816"
,"A530098C11Rik",1,0,"chr1:44066252-44076851"
,"1700029F09Rik",1,9,"chr1:44143461-44159233"
,"Kdelc1",1,47,"chr1:44163390-44175618"
,"Bivm",1,88,"chr1:44176812-44201616"
,"Ercc5",1,132,"chr1:44204588-44238105"
,"4832428D23Rik",1,0,"chr1:44260914-44275776"
,"Gulp1",1,15,"chr1:44608515-44853681"
,"4930521E06Rik",1,0,"chr1:44796519-44801794"
,"Col3a1",1,116,"chr1:45368382-45406551"
,"Col5a2",1,54,"chr1:45431175-45560127"
,"Wdr75",1,226,"chr1:45852345-45880458"
,"Slc40a1",1,2086,"chr1:45964914-45982439"
,"Gm3852",1,0,"chr1:46068391-46069108"
,"Gm4776",1,0,"chr1:46077259-46087282"
,"Dnahc7b",1,0,"chr1:46123582-46430395"
,"Slc39a10",1,83,"chr1:46864388-46910354"
,"Tmeff2",1,0,"chr1:50984366-51244114"
,"9330175M20Rik",1,0,"chr1:51275229-51390623"
,"Sdpr",1,432,"chr1:51345969-51359804"
,"Obfc2a",1,101,"chr1:51526331-51535243"
,"Myo1b",1,39,"chr1:51806609-51972818"
,"Stat4",1,138,"chr1:52065087-52164028"
,"Stat1",1,1441,"chr1:52176281-52218709"
,"Gls",1,317,"chr1:52220293-52290076"
,"Nab1",1,69,"chr1:52512692-52557292"
,"Tmem194b",1,83,"chr1:52687548-52708763"
,"Mfsd6",1,34,"chr1:52713147-52784162"
,"Inpp1",1,27,"chr1:52846263-52874532"
,"Hibch",1,79,"chr1:52901889-52977704"
,"1700019D03Rik",1,0,"chr1:52981970-53009684"
,"Mstn",1,1,"chr1:53118506-53124923"
,"1700019A02Rik",1,0,"chr1:53215420-53244461"
,"Pms1",1,61,"chr1:53246031-53353840"
,"Ormdl1",1,54,"chr1:53353938-53367089"
,"Osgepl1",1,119,"chr1:53370506-53380908"
,"Asnsd1",1,134,"chr1:53401487-53409543"
,"Dnahc7a",1,0,"chr1:53453845-53763628"
,"Stk17b",1,347,"chr1:53812355-53842059"
,"Hecw2",1,32,"chr1:53863717-54251878"
,"Ccdc150",1,1,"chr1:54307526-54425571"
,"Gtf3c3",1,27,"chr1:54454424-54495815"
,"Pgap1",1,32,"chr1:54529843-54614528"
,"Ankrd44",1,196,"chr1:54702183-54983231"
,"Sf3b1",1,1289,"chr1:55042012-55084322"
,"Coq10b",1,42,"chr1:55109613-55129546"
,"Hspd1",1,57,"chr1:55134677-55144776"
,"Hspe1",1,44,"chr1:55144991-55148161"
,"Mob4",1,52,"chr1:55188088-55211743"
,"Rftn2",1,5,"chr1:55227003-55283626"
,"Mars2",1,27,"chr1:55294020-55296902"
,"Boll",1,0,"chr1:55356912-55420313"
,"Plcl1",1,17,"chr1:55462789-55811129"
,"9130227L01Rik",1,0,"chr1:55988084-56028942"
,"Hsfy2",1,0,"chr1:56692892-56694295"
,"Satb2",1,0,"chr1:56850824-57028178"
,"9130024F11Rik",1,0,"chr1:57028312-57032040"
,"BC055402",1,0,"chr1:57257488-57271840"
,"4930558J18Rik",1,8,"chr1:57416065-57434388"
,"1700066M21Rik",1,14,"chr1:57434463-57442266"
,"1110034B05Rik",1,4,"chr1:57445087-57463518"
,"9430016H08Rik",1,19,"chr1:57463391-57472802"
,"Spats2l",1,11,"chr1:57831704-58005241"
,"Kctd18",1,52,"chr1:58011944-58026928"
,"Sgol2",1,311,"chr1:58042183-58083121"
,"Aox1",1,40,"chr1:58086812-58163254"
,"Aox3",1,0,"chr1:58169979-58257296"
,"Aox4",1,8,"chr1:58267240-58325440"
,"Aox3l1",1,1,"chr1:58335169-58436108"
,"Bzw1",1,239,"chr1:58449979-58463392"
,"Clk1",1,436,"chr1:58468831-58480932"
,"Ppil3",1,88,"chr1:58487836-58502330"
,"Nif3l1",1,135,"chr1:58504476-58519120"
,"Orc2",1,405,"chr1:58519614-58561763"
,"Fam126b",1,84,"chr1:58579649-58643177"
,"Ndufb3",1,55,"chr1:58643442-58652792"
,"Gm20257",1,0,"chr1:58709484-58712675"
,"Als2cr12",1,0,"chr1:58714963-58752833"
,"Cflar",1,505,"chr1:58770129-58815726"
,"Casp8",1,190,"chr1:58852217-58904347"
,"Trak2",1,2586,"chr1:58957293-59030326"
,"Stradb",1,365,"chr1:59030414-59051965"
,"Als2cr11",1,0,"chr1:59107349-59151744"
,"Als2cr4",1,11,"chr1:59157436-59176940"
,"Mpp4",1,0,"chr1:59177778-59220233"
,"Als2",1,109,"chr1:59219599-59294075"
,"Cdk15",1,1,"chr1:59313750-59409213"
,"Fzd7",1,70,"chr1:59538990-59543799"
,"Gm973",1,0,"chr1:59573107-59691353"
,"Sumo1",1,0,"chr1:59696277-59727678"
,"Nop58",1,189,"chr1:59741849-59768354"
,"Snord70",1,1,"chr1:59748801-59748854"
,"Snord11",1,0,"chr1:59761651-59761714"
,"Bmpr2",1,11,"chr1:59821480-59927703"
,"Fam117b",1,102,"chr1:59969849-60042190"
,"Ica1l",1,3,"chr1:60045911-60099931"
,"Wdr12",1,91,"chr1:60133711-60155344"
,"Carf",1,15,"chr1:60155124-60207878"
,"Nbeal1",1,43,"chr1:60237442-60391549"
,"Cyp20a1",1,24,"chr1:60400215-60444231"
,"Abi2",1,29,"chr1:60466462-60538007"
,"Raph1",1,93,"chr1:60540028-60623609"
,"Cd28",1,66,"chr1:60803231-60830203"
,"Ctla4",1,13,"chr1:60965868-60972674"
,"Icos",1,45,"chr1:61034757-61057164"
,"9530026F06Rik",1,0,"chr1:61435275-61452748"
,"Pard3b",1,29,"chr1:61685397-62688858"
,"Nrp2",1,52,"chr1:62749890-62865266"
,"4930487H11Rik",1,0,"chr1:62837491-62841306"
,"Ino80d",1,206,"chr1:63094374-63160841"
,"Gm11602",1,2,"chr1:63161044-63204869"
,"Ndufs1",1,298,"chr1:63190165-63223396"
,"Eef1b2",1,818,"chr1:63223404-63227060"
,"Snora41",1,0,"chr1:63225596-63225709"
,"Gpr1",1,0,"chr1:63229267-63260783"
,"Zdbf2",1,1,"chr1:63319842-63361149"
,"Adam23",1,64,"chr1:63492477-63643089"
,"Dytn",1,0,"chr1:63669424-63733501"
,"Mdh1b",1,0,"chr1:63745400-63776892"
,"Fastkd2",1,57,"chr1:63777198-63799959"
,"4933402D24Rik",1,0,"chr1:63801482-63815841"
,"Gm13749",1,0,"chr1:64011300-64015573"
,"Klf7",1,3,"chr1:64082246-64167963"
,"Creb1",1,378,"chr1:64579377-64651122"
,"Mettl21a",1,32,"chr1:64653053-64663742"
,"2810408I11Rik",1,27,"chr1:64726442-64737233"
,"Ccnyl1",1,2,"chr1:64737918-64772216"
,"Fzd5",1,68,"chr1:64777131-64784324"
,"Plekhm3",1,101,"chr1:64835694-65003398"
,"Akr1cl",1,1,"chr1:65059659-65079322"
,"Cryge",1,0,"chr1:65095130-65097737"
,"Crygd",1,0,"chr1:65108411-65110014"
,"Crygc",1,0,"chr1:65118105-65120095"
,"Crygb",1,0,"chr1:65126800-65128841"
,"Cryga",1,0,"chr1:65146962-65149937"
,"D630023F18Rik",1,1,"chr1:65153886-65169767"
,"Idh1",1,92,"chr1:65205189-65233053"
,"Pikfyve",1,184,"chr1:65233258-65325270"
,"Pth2r",1,1,"chr1:65357830-65435818"
,"Crygf",1,0,"chr1:65973095-65974878"
,"Mtap2",1,7,"chr1:66221902-66489157"
,"Unc80",1,0,"chr1:66515020-66745722"
,"Rpe",1,71,"chr1:66747466-66766379"
,"1110028C15Rik",1,47,"chr1:66765816-66864169"
,"Acadl",1,325,"chr1:66877426-66909841"
,"Myl1",1,0,"chr1:66970869-66991630"
,"Lancl1",1,127,"chr1:67047090-67085446"
,"Cps1",1,0,"chr1:67169639-67277022"
,"Erbb4",1,0,"chr1:68086539-69154633"
,"Ikzf2",1,76,"chr1:69577783-69732534"
,"Spag16",1,0,"chr1:69873561-70771706"
,"Vwc2l",1,0,"chr1:70772288-70931971"
,"Bard1",1,178,"chr1:71074108-71149546"
,"Abca12",1,0,"chr1:71289663-71461484"
,"Atic",1,351,"chr1:71603729-71625977"
,"Fn1",1,540,"chr1:71632096-71699745"
,"Apol7d",1,0,"chr1:71699908-71709417"
,"Gm8883",1,0,"chr1:71934685-71937778"
,"4933417E11Rik",1,0,"chr1:72005571-72051769"
,"Mreg",1,6,"chr1:72205806-72258881"
,"Pecr",1,27,"chr1:72305746-72330888"
,"Tmem169",1,0,"chr1:72330946-72349569"
,"Xrcc5",1,143,"chr1:72353994-72441527"
,"March4",1,0,"chr1:72473685-72583138"
,"Smarcal1",1,66,"chr1:72629824-72683364"
,"Ankar",1,0,"chr1:72689553-72747138"
,"Rpl37a",1,2,"chr1:72757833-72760387"
,"Igfbp2",1,8,"chr1:72871053-72899045"
,"Igfbp5",1,242,"chr1:72904638-72921439"
,"Tnp1",1,0,"chr1:73061648-73062473"
,"1700027A15Rik",1,0,"chr1:73062609-73072082"
,"Pinc",1,0,"chr1:73437958-73454143"
,"D530049I02Rik",1,0,"chr1:73445541-73477353"
,"6030407O03Rik",1,0,"chr1:73664954-73911040"
,"Tns1",1,468,"chr1:73956804-74171021"
,"Rufy4",1,8,"chr1:74172114-74194804"
,"Cxcr2",1,25,"chr1:74200567-74207820"
,"Cxcr1",1,0,"chr1:74238359-74241205"
,"Arpc2",1,320,"chr1:74283123-74314787"
,"Gpbar1",1,0,"chr1:74325173-74326163"
,"Aamp",1,106,"chr1:74326413-74331312"
,"Pnkd",1,49,"chr1:74331607-74400266"
,"Tmbim1",1,90,"chr1:74334820-74350910"
,"Gm216",1,1,"chr1:74408681-74415895"
,"Slc11a1",1,231,"chr1:74421776-74432625"
,"Ctdsp1",1,218,"chr1:74438182-74443859"
,"Mir26b",1,0,"chr1:74440883-74440968"
,"Vil1",1,0,"chr1:74455957-74482134"
,"Usp37",1,362,"chr1:74482083-74590860"
,"Rqcd1",1,318,"chr1:74552633-74577416"
,"Plcd4",1,1.02983,"chr1:74589462-74612551"
,"Zfp142",1,97.9701,"chr1:74611701-74634602"
,"Bcs1l",1,13,"chr1:74634934-74639017"
,"Rnf25",1,41,"chr1:74640325-74647971"
,"Stk36",1,2,"chr1:74648028-74683467"
,"Ttll4",1,42,"chr1:74708327-74744547"
,"Cyp27a1",1,88,"chr1:74760147-74784464"
,"Prkag3",1,1,"chr1:74785495-74795529"
,"Wnt6",1,1,"chr1:74818465-74831893"
,"Wnt10a",1,6,"chr1:74838592-74850749"
,"Cdk5r2",1,0,"chr1:74901602-74904306"
,"Fev",1,0,"chr1:74928082-74931982"
,"Cryba2",1,0,"chr1:74936517-74939709"
,"Mir375",1,0,"chr1:74947231-74947295"
,"Ccdc108",1,0,"chr1:74948653-74982173"
,"Ihh",1,0,"chr1:74991891-74998225"
,"Nhej1",1,13,"chr1:75013919-75121800"
,"Slc23a3",1,4,"chr1:75122115-75130464"
,"1810031K17Rik",1,324,"chr1:75131788-75138942"
,"Fam134a",1,285,"chr1:75139359-75144483"
,"Zfand2b",1,51,"chr1:75165219-75168200"
,"Abcb6",1,201,"chr1:75168214-75176857"
,"Atg9a",1,127,"chr1:75177439-75188497"
,"Ankzf1",1,104.04,"chr1:75188708-75195960"
,"Glb1l",1,20.9597,"chr1:75194809-75207353"
,"Stk16",1,71.189,"chr1:75207403-75212181"
,"Tuba4a",1,407.811,"chr1:75211548-75215828"
,"A630095N17Rik",1,0,"chr1:75216669-75228668"
,"Dnajb2",1,580,"chr1:75232997-75242267"
,"Ptprn",1,14,"chr1:75243615-75260783"
,"Resp18",1,0,"chr1:75268776-75274955"
,"Dnpep",1,70,"chr1:75305139-75314212"
,"Des",1,155,"chr1:75356918-75364290"
,"Gm15179",1,0,"chr1:75364784-75371590"
,"Speg",1,10,"chr1:75371871-75428881"
,"Gmppa",1,30,"chr1:75432517-75439751"
,"Accn4",1,0,"chr1:75447084-75470915"
,"Chpf",1,13,"chr1:75471143-75476046"
,"Tmem198",1,0,"chr1:75476106-75482268"
,"Obsl1",1,9,"chr1:75482399-75503027"
,"Inha",1,0,"chr1:75503651-75506929"
,"Stk11ip",1,118,"chr1:75518103-75533910"
,"Slc4a3",1,4,"chr1:75542840-75556006"
,"Gm17751",1,0,"chr1:76485707-76498603"
,"Epha4",1,0,"chr1:77363759-77511663"
,"Pax3",1,0,"chr1:78097841-78193711"
,"Sgpp2",1,1,"chr1:78306920-78416861"
,"Farsb",1,223,"chr1:78421410-78485421"
,"Mogat1",1,0,"chr1:78507634-78534748"
,"Utp14b",1,0,"chr1:78654399-78664176"
,"Acsl3",1,14,"chr1:78654399-78704318"
,"Kcne4",1,23,"chr1:78813523-78816600"
,"Scg2",1,0,"chr1:79431243-79436665"
,"Ap1s3",1,1,"chr1:79603450-79668547"
,"Wdfy1",1,146,"chr1:79698836-79758344"
,"Mrpl44",1,107,"chr1:79772592-79778020"
,"Serpine2",1,29,"chr1:79790895-79855240"
,"Fam124b",1,1,"chr1:80195273-80210519"
,"Cul3",1,72,"chr1:80263392-80337005"
,"1700016L21Rik",1,0,"chr1:80442506-80472235"
,"Dock10",1,220,"chr1:80497647-80755128"
,"9430031J16Rik",1,0,"chr1:81073891-81268226"
,"Irs1",1,28,"chr1:82229679-82288014"
,"Rhbdd1",1,49,"chr1:82313153-82441941"
,"Col4a4",1,25,"chr1:82447297-82583424"
,"Col4a3",1,19,"chr1:82583495-82718634"
,"Mff",1,428,"chr1:82721492-82748964"
,"Tm4sf20",1,1,"chr1:82753223-82765031"
,"Agfg1",1,236,"chr1:82836057-82892850"
,"Slc19a3",1,4,"chr1:83009097-83035023"
,"Ccl20",1,0,"chr1:83113340-83115742"
,"Wdr69",1,1,"chr1:83156336-83207147"
,"Sphkap",1,16,"chr1:83252355-83404775"
,"Pid1",1,15,"chr1:84032867-84281220"
,"Dner",1,1,"chr1:84366413-84692796"
,"Mir5126",1,0,"chr1:84692413-84692490"
,"Trip12",1,157,"chr1:84717763-84835879"
,"Fbxo36",1,0,"chr1:84836415-84897061"
,"Slc16a14",1,1,"chr1:84903279-84931658"
,"A530032D15Rik",1,0,"chr1:85084713-85106428"
,"Gm7609",1,0,"chr1:85196185-85210337"
,"C130026I21Rik",1,0,"chr1:85242918-85267141"
,"Sp110",1,1,"chr1:87473474-87500466"
,"Sp140",1,0,"chr1:87497277-87541611"
,"Sp100",1,267,"chr1:87546624-87606023"
,"A630001G21Rik",1,58,"chr1:87613657-87633181"
,"Cab39",1,382,"chr1:87690021-87748152"
,"Itm2c",1,343,"chr1:87791084-87805273"
,"4933407L21Rik",1,1,"chr1:87825057-87828331"
,"Gpr55",1,9,"chr1:87836111-87857630"
,"Spata3",1,0,"chr1:87918516-87926533"
,"2810459M11Rik",1,1,"chr1:87942437-87952031"
,"Psmd1",1,245,"chr1:87961193-88035870"
,"Htr2b",1,1,"chr1:87995611-88008545"
,"Armc9",1,60,"chr1:88051354-88174859"
,"B3gnt7",1,5,"chr1:88199795-88203880"
,"Ncl",1,1206,"chr1:88241293-88256030"
,"Snora75",1,0,"chr1:88247744-88247860"
,"Snord82",1,0,"chr1:88252834-88252902"
,"C130036L24Rik",1,1,"chr1:88256148-88264539"
,"Nmur1",1,0,"chr1:88282899-88284716"
,"1700019O17Rik",1,0,"chr1:88322903-88324624"
,"Ptma",1,0,"chr1:88423310-88427273"
,"Pde6d",1,59,"chr1:88439589-88479076"
,"Cops7b",1,29,"chr1:88483674-88503075"
,"Nppc",1,0,"chr1:88562867-88567148"
,"Dis3l2",1,61,"chr1:88600378-88946672"
,"Alppl2",1,0,"chr1:88983265-88986503"
,"Alpi",1,0,"chr1:88994576-88998181"
,"Akp3",1,0,"chr1:89021582-89024487"
,"Ecel1",1,1,"chr1:89044229-89051602"
,"Prss56",1,0,"chr1:89080067-89084979"
,"Chrnd",1,0,"chr1:89087226-89096645"
,"Chrng",1,0,"chr1:89102385-89108410"
,"Eif4e2",1,163,"chr1:89110488-89137063"
,"Efhd1",1,53,"chr1:89160938-89207366"
,"Gigyf2",1,152,"chr1:89223572-89347385"
,"Kcnj13",1,0,"chr1:89282858-89291304"
,"3110079O15Rik",1,0,"chr1:89366838-89372034"
,"Ngef",1,0,"chr1:89373403-89470445"
,"Neu2",1,0,"chr1:89470601-89494415"
,"Inpp5d",1,441,"chr1:89516886-89617083"
,"Atg16l1",1,101,"chr1:89652585-89689003"
,"Scarna6",1,0,"chr1:89681145-89681393"
,"Sag",1,1,"chr1:89700254-89741732"
,"Dgkd",1,261,"chr1:89749861-89841064"
,"Usp40",1,46,"chr1:89841695-89905126"
,"Ugt1a10",1,0,"chr1:89951985-90116577"
,"Ugt1a9",1,0,"chr1:89967353-90116577"
,"Ugt1a7c",1,3,"chr1:89991575-90116577"
,"Ugt1a6b",1,0,"chr1:89999831-90115573"
,"Ugt1a6a",1,0,"chr1:90031383-90116577"
,"Ugt1a5",1,0,"chr1:90062586-90116577"
,"Ugt1a2",1,0,"chr1:90097185-90116577"
