"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","exon_length_mat","exon_length_pat","rpkm_mouse_1_female_mat_bl6","rpkm_mouse_2_female_mat_bl6","rpkm_mouse_4_female_mat_bl6","rpkm_mouse_7_male_mat_bl6","rpkm_mouse_8_male_mat_bl6","rpkm_mouse_1_female_pat_cast","rpkm_mouse_2_female_pat_cast","rpkm_mouse_4_female_pat_cast","rpkm_mouse_7_male_pat_cast","rpkm_mouse_8_male_pat_cast"
"4930415L06Rik","ENSMUSG00000035387","MGP_CASTEiJ_G0034861","X","X",2623,2617,0,0,0,0,0,0,0,0,0,0
"4930447F04Rik","ENSMUSG00000031182","MGP_CASTEiJ_G0034732","X","X",703,703,0,0,0,0,0,0,0,0,0,0
"4930453H23Rik","ENSMUSG00000087358","MGP_CASTEiJ_G0007352","X","X",1720,1719,0,0,0,0,0,0,0,0,0,0
"4930480E11Rik","ENSMUSG00000035651","MGP_CASTEiJ_G0034843","X","X",1486,1486,0,0,0,0,0,0,0,0,0,0
"4930513O06Rik","ENSMUSG00000031270","MGP_CASTEiJ_G0035087","X","X",808,804,0,0,0,0,0,0,0,0,0,0
"4930515L19Rik","ENSMUSG00000085157","MGP_CASTEiJ_G0004588","X","X",769,769,0,0,0,0,0,0,0,0,0,0
"4930555B12Rik","ENSMUSG00000085619","MGP_CASTEiJ_G0007382","X","X",283,283,0,0,0,0,0,0,0,0,0,0
"4930558G05Rik","ENSMUSG00000086244","MGP_CASTEiJ_G0007385","X","X",494,494,0,0,0,0,0,0,0,0,0,0
"4930567H17Rik","ENSMUSG00000073141","MGP_CASTEiJ_G0034744","X","X",915,840,0,0,0,0,0,0,0,0,0,0
"4930570D08Rik","ENSMUSG00000084875","MGP_CASTEiJ_G0015103","X","X",196,196,0,0,0,0,0,0,0,0,0,0
"4930595M18Rik","ENSMUSG00000060673","MGP_CASTEiJ_G0034849","X","X",2644,2644,0,0,0,0,0,0,0,0,0,0
"4931400O07Rik","ENSMUSG00000031194","MGP_CASTEiJ_G0034727","X","X",647,647,0,0,0,0,0,0,0,0,0,0
"4932411N23Rik","ENSMUSG00000058670","MGP_CASTEiJ_G0035013","X","X",3397,3407,0,0,0,0,0,0,0,0,0,0
"4932429P05Rik","ENSMUSG00000079513","MGP_CASTEiJ_G0034860","X","X",3093,3093,0,0,0,0,0,0,0,0,0,0
"4933400A11Rik","ENSMUSG00000055357","MGP_CASTEiJ_G0035236","X","X",1351,1351,0,0,0,0,0,0,0,0,0,0
"4933403O08Rik","ENSMUSG00000079460","MGP_CASTEiJ_G0034994","X","X",1540,1540,0,0,0,0,0,0,0,0,0,0
"4933428M09Rik","ENSMUSG00000042525","MGP_CASTEiJ_G0035088","X","X",1026,1026,0,0,0,0.257633952284219,0,0,0,0,0,0
"4933436I01Rik","ENSMUSG00000025288","MGP_CASTEiJ_G0034734","X","X",1426,1426,0,0,0,0,0,0,0,0,0,0
"5330434G04Rik","ENSMUSG00000087620","MGP_CASTEiJ_G0007380","X","X",6495,6494,0,0,0,0,0,0,0,0,0,0
"5530601H04Rik","ENSMUSG00000087174","MGP_CASTEiJ_G0015101","X","X",9004,9005,0.727172285476984,0.573703848436223,0.711463978271961,0.52843001230397,0.435514927045479,1.22194174897794,0.844658255716863,1.20517014530209,0.841863040108566,0.524666256367598
"5730405O15Rik","ENSMUSG00000087424","MGP_CASTEiJ_G0015086","X","X",1836,1836,0,0,0.218069909462171,0,0,0.561866087088763,0.497133829590219,0.17912057104452,0.172044677654721,0.643330560810215
"5730412P04Rik","ENSMUSG00000087553","MGP_CASTEiJ_G0015109","X","X",1155,1149,0,0,0,0,0.212195692809388,0,0,0.286218771486282,0,0
"6030498E09Rik","ENSMUSG00000051361","MGP_CASTEiJ_G0034633","X","X",520,1291,0,0,0,0,0,0,0,0,0,0
"8030474K03Rik","ENSMUSG00000046774","MGP_CASTEiJ_G0034930","X","X",1794,2004,0.952080741374838,0,0,0,0,0.171587846955251,0,0,0,0
"9530051G07Rik","ENSMUSG00000085982","MGP_CASTEiJ_G0015113","X","X",4189,4414,0,0.0616570715125299,0.0955780266823935,0.0631015600486055,0.0585070482680457,0,0,0,0,0
"A230072C01Rik","ENSMUSG00000086877","MGP_CASTEiJ_G0015088","X","X",1605,1581,2.30575566462554,1.77015339453325,2.24510104919185,0.658772423784693,1.37431415997108,0,0,0,0.199793819211934,0
"A230072E10Rik","ENSMUSG00000084771","MGP_CASTEiJ_G0004613","X","X",6276,6252,0.272153099111928,0.123461506962709,0.127589660220697,0.0421179788151065,0.195256552895828,0.165000981429138,0.0486637721863746,0.105203252859161,0.202094707724932,0.0472310824395216
"A630012P03Rik","ENSMUSG00000055110","MGP_CASTEiJ_G0004591","X","X",1977,1974,0,0,0,0,0,0,0,0,0,0
"Abcb7","ENSMUSG00000031333","MGP_CASTEiJ_G0034953","X","X",5913,5905,4.18847899972665,4.49906843806811,5.75545240498333,5.09621133011523,4.80804649460542,0.873485297116823,0.618281260713051,0.445541566046047,0.320955828796682,0.400052467281136
"Abcd1","ENSMUSG00000031378","MGP_CASTEiJ_G0034779","X","X",4192,4192,4.21032270601306,3.8816156420938,3.53385617595043,6.55786575489868,4.09256244361618,2.13273215118234,2.32248781457415,2.1966198273513,0.150703257716636,0.352205066092425
"Ace2","ENSMUSG00000015405","MGP_CASTEiJ_G0035210","X","X",3762,3762,14.4530513182285,13.1818295408479,15.4318371337106,14.9661905008742,16.026358904288,1.9194851013463,1.13222824346863,2.88478393366437,1.76325215089193,2.43326702545682
"Acot9","ENSMUSG00000025287","MGP_CASTEiJ_G0035169","X","X",2272,2273,5.38772099113393,7.38921466407975,5.46288158756555,5.35180106162235,7.0117040658736,0.605124584774875,0.535408541503236,1.30215060094133,1.25071106624136,0.90938015481004
"Acsl4","ENSMUSG00000031278","MGP_CASTEiJ_G0035117","X","X",5342,5405,311.53001501481,286.46906120432,302.118510306465,299.464600689614,279.816485897295,54.7125548485768,49.0846305336604,46.485317573808,34.5386772712071,38.1881258947105
"Actrt1","ENSMUSG00000046615","MGP_CASTEiJ_G0034647","X","X",1339,1339,0,0,0,0,0,0,0,0,0,0
"Adgrg2","ENSMUSG00000031298","MGP_CASTEiJ_G0035188","X","X",5278,5278,0,0.0489354817290617,0,0,0,0,0,0,0,0
"Aff2","ENSMUSG00000031189","MGP_CASTEiJ_G0034739","X","X",7299,7267,0,0,0,0,0,0,0,0,0,0
"Agtr2","ENSMUSG00000068122","MGP_CASTEiJ_G0034587","X","X",3326,3326,0,0,0,0,0,0,0,0,0,0
"Aifm1","ENSMUSG00000036932","MGP_CASTEiJ_G0034657","X","X",4006,4006,0.710614432528898,0.902631207170202,0.899497549663733,0,0.122359473387341,0.429183780951476,0.227842663786231,0.328372809223902,0.078850231695973,0.0737116144313252
"Akap14","ENSMUSG00000036551","MGP_CASTEiJ_G0034611","X","X",1792,1792,0,0,0,0,0,0,0,0,0,0
"Akap17b","ENSMUSG00000059708","MGP_CASTEiJ_G0034601","X","X",5992,6003,0.142526105643062,0.129313153821422,0.400910901641401,0.264685348842064,0.204511035709983,0.114563400066075,0.152046928390412,0,0.210477446726016,0.0983803856111574
"Akap4","ENSMUSG00000050089","MGP_CASTEiJ_G0034490","X","X",3026,3027,0,0,0,0,0,0,0,0,0,0
"Alas2","ENSMUSG00000025270","MGP_CASTEiJ_G0035134","X","X",2403,2403,0,0,0.166615211723906,0,0,0,0,0,0,0
"Alg13","ENSMUSG00000041718","MGP_CASTEiJ_G0035125","X","X",5644,6850,2.32014856783656,1.05252903419874,1.48970648994037,1.40502711752449,1.60669435368696,0.301193032378093,0.177661841582023,0.192038171350504,0.0461129968137326,0.043107843417794
"Amelx","ENSMUSG00000031354","MGP_CASTEiJ_G0035234","X","X",999,999,0,0,0,0,0,0,0,0,0,0
"Amer1","ENSMUSG00000050332","MGP_CASTEiJ_G0034881","X","X",8505,8496,4.1169516079415,2.97608281145994,3.48358026797983,2.54853141370675,3.57327067891365,1.01183511446069,0.608778291320226,1.23866428790109,1.07819524682768,1.32073583352775
"Ammecr1","ENSMUSG00000042225","MGP_CASTEiJ_G0035119","X","X",5421,5437,1.41784685945749,1.61991700188961,0.664708943728632,1.07273816103291,1.17547254290093,0.126489624902822,0.0559584152490737,0.24194619712175,0.406679822920448,0.380176768784849
"Amot","ENSMUSG00000041688","MGP_CASTEiJ_G0035129","X","X",8640,8402,0.461274303633689,1.01638542444949,0.370718846085691,0.856632891345027,1.30485615265773,0.122778640311232,0.072422257488506,0.0391413197378884,0.112785299276625,0.140580208241794
"Ap1s2","ENSMUSG00000031367","MGP_CASTEiJ_G0035205","X","X",4958,4965,4.13400447767598,2.60469415657511,3.55315844412909,2.7190306952852,2.02672993807757,0.900343723842537,0.796615659258768,1.25849788526023,0.699821613275881,0.59474063929887
"Apln","ENSMUSG00000037010","MGP_CASTEiJ_G0034650","X","X",3155,3149,0.99251776810835,0.57304922597842,1.01521737882104,0.251346213987583,0.466090697676406,0.327591659541114,0.193233346274509,0.6266091491351,0,0
"Apoo","ENSMUSG00000079508","MGP_CASTEiJ_G0034875","X","X",4130,1255,1.30962970744563,1.12568196275733,1.35720797888999,1.98409333809972,1.00882867513616,0,0,0,0,0
"Apool","ENSMUSG00000025525","MGP_CASTEiJ_G0034995","X","X",2933,3486,2.32940040917349,1.6731496688557,1.63808941195723,0.811112142990956,1.50410789413815,0,0,0,0,0.0847070359758717
"Ar","ENSMUSG00000046532","MGP_CASTEiJ_G0034895","X","X",9097,10048,0,0.0283919393828721,0,0,0,0,0.0302792499710603,0,0,0
"Araf","ENSMUSG00000001127","MGP_CASTEiJ_G0034576","X","X",6551,6541,8.99513560157424,9.34402518671029,12.1622491834432,7.7875377749071,8.60476046325965,1.68224819592514,1.48843738246367,1.40777103138001,0.772662352971272,0.993174132863714
"Arhgap36","ENSMUSG00000036198","MGP_CASTEiJ_G0034665","X","X",3605,3421,0,0.0716453460654612,0,0.073323837737478,0,0,0,0,0,0
"Arhgap4","ENSMUSG00000031389","MGP_CASTEiJ_G0034786","X","X",8105,8105,0.737583587303222,0.924140987589592,1.48196059385273,1.3371535887462,1.42122679631803,0.466685070731838,0.150152204174813,0.243453696560941,0.155890945428288,0.0364329089959147
"Arhgap6","ENSMUSG00000031355","MGP_CASTEiJ_G0035233","X","X",15794,12128,1.6041421178122,2.37120511093252,1.69844344072183,2.02508703560065,1.28796632209523,0.793876753657077,0.602069730295278,0.325394493836812,0.234405199007801,0.462606020846462
"Arhgef6","ENSMUSG00000031133","MGP_CASTEiJ_G0034712","X","X",8084,8552,3.52142678959768,4.2493117084706,3.51641775332147,4.57775122539648,3.7290426891348,1.36708483865096,1.13843181930482,1.19209850579629,0.849520889616881,0.690572327904324
"Arhgef9","ENSMUSG00000025656","MGP_CASTEiJ_G0034880","X","X",8726,8776,0.0978703214546447,0.177594411574138,0.275298890973559,0.272632582557011,0.224694957776615,0.0391820926730085,0.0346679470953981,0,0,0
"Arl13a","ENSMUSG00000052549","MGP_CASTEiJ_G0035027","X","X",1740,1740,0,0,0,0,0,0,0,0,0,0
"Armcx1","ENSMUSG00000033460","MGP_CASTEiJ_G0035039","X","X",3251,3227,3.85283735266914,4.52846629845011,3.20202559153682,5.04109842285565,4.97560063453081,2.8770608066485,2.92272172760633,1.7324794742614,1.17461677660019,1.64710167133994
"Armcx2","ENSMUSG00000033436","MGP_CASTEiJ_G0035042","X","X",4533,4532,0.251199772045953,0.227912175218167,0.441624039016707,0.699754957097573,1.08134138625565,0.227622713127751,0.134265623878735,0.145130347942515,0.418191564219861,0.586407446316637
"Armcx3","ENSMUSG00000049047","MGP_CASTEiJ_G0035041","X","X",3530,3540,2.98381564924358,4.09738313419131,2.26842126783312,3.96873061113633,4.79063335366691,2.81694895865858,3.09402613941573,4.27339179325875,5.53225699061927,3.25318089521572
"Armcx4","ENSMUSG00000049804","MGP_CASTEiJ_G0035038","X","X",7996,7996,0.249212730327356,0.193808008428705,0.100144160523398,0.0991742502664863,0.0613021573773995,0.129012773373558,0.190248814225371,0.0411287354224285,0.118512016573562,0
"Armcx5","ENSMUSG00000072969","MGP_CASTEiJ_G0035055","X","X",4233,4247,1.95026981064522,1.28133969380717,1.22959900756983,1.1240216940196,1.21587680819554,0.323863475675369,0.0716378393475898,0.1548694930246,0.148751602624944,0
"Armcx6","ENSMUSG00000050394","MGP_CASTEiJ_G0035040","X","X",2336,2486,0,0.442262795489705,0.171393987060165,0.226312016304459,0.839335702722066,0.138319406797394,0.61191855130574,0.132286954319283,0.508244614922073,0.593903313378698
"Arr3","ENSMUSG00000060890","MGP_CASTEiJ_G0034909","X","X",2590,2355,0,0.0997225762803041,0.154585464777045,0.102058855229192,0.094627808955538,0,0,0,0,0
"Arx","ENSMUSG00000035277","MGP_CASTEiJ_G0034866","X","X",4463,4391,0,0,0,0,0,0,0,0,0,0
"Asb11","ENSMUSG00000031382","MGP_CASTEiJ_G0035215","X","X",2848,2847,1.199461271086,0.816198473698697,0.562326339568183,0.464066775006335,0.430277431872969,0,0.320596315815821,0.115512949925444,0.221899563171105,0
"Asb12","ENSMUSG00000031204","MGP_CASTEiJ_G0034882","X","X",1258,1594,0,0,0,0,0,0,0,0,0,0
"Asb9","ENSMUSG00000031384","MGP_CASTEiJ_G0035216","X","X",1139,1139,0,0,0,0,0,0,0,0,0,0
"Atp11c","ENSMUSG00000062949","MGP_CASTEiJ_G0034721","X","X",7311,7312,3.89375108290352,3.35614004838857,4.6549022118269,2.71165813544941,3.35229141286887,0.376216679757465,0.291263857489674,0.359808937021595,0.431994021025804,0.40384125740138
"Atp1b4","ENSMUSG00000016327","MGP_CASTEiJ_G0034627","X","X",4203,4201,0,0,0,0,0,0,0,0,0,0
"Atp2b3","ENSMUSG00000031376","MGP_CASTEiJ_G0034774","X","X",4810,4820,0,0,0.0832383271876395,0.0549547682003344,0,0,0,0,0,0
"Atp6ap1","ENSMUSG00000019087","MGP_CASTEiJ_G0034801","X","X",3026,3026,0.282226181431999,0.426770443764025,3.3078019974599,0.174707491767091,0.404966994703971,0.34090751351453,0.10054392059128,0.54339948519124,0.104386658352303,0
"Atp6ap2","ENSMUSG00000031007","MGP_CASTEiJ_G0034546","X","X",2322,2618,75.1524646185917,75.860449737297,78.7993082144934,76.1577945926675,73.9902255217852,4.33439552897045,5.46201584199124,4.01974476318091,5.42946190520743,5.52679436332412
"Atp7a","ENSMUSG00000033792","MGP_CASTEiJ_G0034965","X","X",8728,8734,1.8264940345532,2.54493659952738,3.85330129661937,3.42226915214571,2.47107816420099,0.669298691329458,0.696693161688147,1.20491089878723,0.614822358479409,0.270472843976999
"Atrx","ENSMUSG00000031229","MGP_CASTEiJ_G0034962","X","X",21764,21757,8.84204961264693,9.22094762836668,12.2335175178618,10.6029321720764,10.9570254785234,2.24426209644537,2.76879574088451,3.46142250182663,2.78750808518735,3.16230516555454
"AU015836","ENSMUSG00000081044","MGP_CASTEiJ_G0034870","X","X",3342,3335,0.0851801740487961,0,0.119801422433437,0.316376343559076,0.0733351362043218,0.309321180178401,0.547368942205482,0.493051526893161,0.568289106160242,0
"Avpr2","ENSMUSG00000031390","MGP_CASTEiJ_G0034787","X","X",2886,2886,0,0,0,0,0,0,0,0,0,0
"Awat1","ENSMUSG00000015665","MGP_CASTEiJ_G0034907","X","X",1390,1390,0,0,0,0,0,0,0,0,0,0
"Awat2","ENSMUSG00000031220","MGP_CASTEiJ_G0034903","X","X",1299,2126,0.438294290486646,0.795324010980716,1.23287560822955,1.62791337979128,0.943364223228804,0,0,0,0,0.13889403923419
"B230119M05Rik","ENSMUSG00000087024","MGP_CASTEiJ_G0015104","X","X",979,979,0,0,0,0,0,0,0,0,0,0
"B630019K06Rik","ENSMUSG00000052364","MGP_CASTEiJ_G0034530","X","X",2572,2583,9.29722391149706,7.53153594185423,7.16069684041101,8.53016800490649,9.71958575811587,0.798750395582631,0.353363418942176,0.25463830308768,0.611447983302493,1.02888058331669
"BC065397","ENSMUSG00000087368","MGP_CASTEiJ_G0015110","X","X",3516,3515,1.13350682121589,1.17534230974283,2.39132634505787,1.12769810172188,1.32441253660467,0.68478927939922,0.432782224337431,0.374242240042945,0.0898645883852256,0.50404903683395
"Bcap31","ENSMUSG00000002015","MGP_CASTEiJ_G0034778","X","X",1219,1219,103.920511110442,119.500205518636,96.2348413907761,141.382073542603,142.54798348084,55.2887291866048,68.8858649907654,51.7983189007758,7.51464053900572,7.99387038932923
"Bcor","ENSMUSG00000040363","MGP_CASTEiJ_G0034545","X","X",7349,8666,8.59943059613268,10.8246963600931,9.96991056475384,13.1284989510025,10.4050673371603,1.66653656848945,1.36921189068305,1.25231446554874,1.38509266912238,1.80594305940804
"Bcorl1","ENSMUSG00000036959","MGP_CASTEiJ_G0034655","X","X",6576,8516,2.25105708134063,2.04237174170185,1.82653446064118,1.52746845067778,1.49079090751121,0.121135055882453,0.357263860626132,0.270321463018338,0.185459152286325,0.208047482911148
"Bex1","ENSMUSG00000050071","MGP_CASTEiJ_G0035064","X","X",1099,1186,3.36736837281528,1.4100899321164,1.09292908218165,15.8743773547572,13.8265091556691,19.425596150917,25.3965804951199,21.0740033737505,9.58808179955013,13.4448493088044
"Bex2","ENSMUSG00000042750","MGP_CASTEiJ_G0035060","X","X",903,903,70.3010936795682,76.3689403932655,149.864017248196,157.194371670451,147.105897735997,9.51999017990926,7.41241404385682,18.2095995812701,15.0416203892413,17.0044449893889
"Bgn","ENSMUSG00000031375","MGP_CASTEiJ_G0034773","X","X",6075,6099,2.53041903707624,1.82816515561111,1.44992259802404,1.04427628659203,1.16995798035399,0.451040557859745,0.0997691109064482,0.323527170130584,0.155373353750156,0
"Bhlhb9","ENSMUSG00000072964","MGP_CASTEiJ_G0035057","X","X",2978,4800,4.39721911244779,5.2037905822563,7.7977933239784,4.61561001419329,5.84321953956813,0.358189630519086,0.760614759273035,0.274054473698115,0.197421267608793,0.184555454632431
"Bmp15","ENSMUSG00000023279","MGP_CASTEiJ_G0034486","X","X",3143,3060,0,0,0,0,0,0,0,0,0,0
"Bmx","ENSMUSG00000031377","MGP_CASTEiJ_G0035211","X","X",3093,3092,0,0,0.129445959835935,0.0854615050254149,0.0792389347542332,0,0,0,0,0
"Brcc3","ENSMUSG00000031201","MGP_CASTEiJ_G0034825","X","X",7886,7887,2.63518467435818,2.65290378871988,3.04623145147765,3.31840109933011,3.35649134175033,1.52595049897823,1.35014665016134,0.917337150453942,1.16144881666641,1.34783747772638
"Brs3","ENSMUSG00000031130","MGP_CASTEiJ_G0034708","X","X",2772,2772,0,0,0,0,0,0,0,0,0,0
"Brwd3","ENSMUSG00000063663","MGP_CASTEiJ_G0034983","X","X",12966,12692,3.73239735339218,4.82061671764376,5.74348309437711,5.60631032214964,6.10541309100219,0.623134812626964,0.647229703762116,0.388668494056577,0.42309001567595,0.67470635793766
"Btk","ENSMUSG00000031264","MGP_CASTEiJ_G0035035","X","X",3148,3149,0,0,0,0,0,0,0,0,0,0
"C1galt1c1","ENSMUSG00000048970","MGP_CASTEiJ_G0034632","X","X",1476,1449,0.771469218620804,0.349974895075864,1.89880384580476,0.179087015612201,0.830237212719659,0,0,0,0,0
"C430049B03Rik","ENSMUSG00000087365","MGP_CASTEiJ_G0015092","X","X",1641,1610,0.346949593749027,0.62957092642532,0.243983152816908,0.32216018896235,0.29870326044466,0.213578910123182,0.566917832998535,1.22558522399157,0.196195048555322,0.366818294921601
"Cacna1f","ENSMUSG00000031142","MGP_CASTEiJ_G0034496","X","X",9229,9089,0,0,0,0.0286415034178793,0.026556075977337,0,0,0,0,0
"Capn6","ENSMUSG00000067276","MGP_CASTEiJ_G0035123","X","X",7773,7795,0.256362407268434,0.166140147025594,0.257543003841854,0.306058396422549,0.662139010561136,0.0882263105319622,0,0.168757084509423,0,0.227290874210562
"Car5b","ENSMUSG00000031373","MGP_CASTEiJ_G0035207","X","X",6372,6354,1.78701909398039,1.82402169891234,1.88501108179165,1.36895328883225,1.03850010675781,0.865878615796847,0.622473520336761,0.207028875314912,0.397701011235843,0.278837325223691
"Cask","ENSMUSG00000031012","MGP_CASTEiJ_G0034552","X","X",9182,9145,11.192185051542,10.2108663190431,12.3400684074963,11.1985751722897,11.0771836697735,2.14326261148216,2.06268409294382,1.25864274415755,1.20892192302814,1.42074401379148
"Ccdc120","ENSMUSG00000031150","MGP_CASTEiJ_G0034505","X","X",4185,4165,25.168146336511,28.8213734022261,24.8740387051044,18.8853997796987,16.866135067172,3.88031599736403,3.43326710068021,2.9214930689547,2.42688328969272,2.41052022377052
"Ccdc160","ENSMUSG00000073207","MGP_CASTEiJ_G0034681","X","X",1542,1536,0,0.334995424858609,0,0,0,0,0,0,0,0
"Ccdc22","ENSMUSG00000031143","MGP_CASTEiJ_G0034495","X","X",3436,3427,0,0,0,0,0,0,0,0,0,0
"Ccnb3","ENSMUSG00000051592","MGP_CASTEiJ_G0034489","X","X",4566,4566,0,0,0,0,0,0,0,0,0,0
"Cd40lg","ENSMUSG00000031132","MGP_CASTEiJ_G0034711","X","X",1251,1250,0,0,0,0,0.195912090483488,0,0,0,0,0
"Cd99l2","ENSMUSG00000035776","MGP_CASTEiJ_G0034748","X","X",4895,4902,16.9814638136781,15.8293037323384,19.303129620086,16.4161512264059,15.7215550380349,1.19250403306232,1.48957602795209,1.00631997685966,0.579940076206979,0.421668929392742
"Cdk16","ENSMUSG00000031065","MGP_CASTEiJ_G0034574","X","X",4381,4378,12.9957608614963,16.4484206450378,16.0845099894928,14.903015625604,13.873849406145,3.06318404902572,2.50179363488618,2.17841381559945,1.51515637086693,1.55131126781029
"Cdkl5","ENSMUSG00000031292","MGP_CASTEiJ_G0035192","X","X",14291,14331,2.90827322678449,4.39174290347316,3.10977365256124,1.51670699556195,1.78356634387123,0.383908500786628,0.721817090650567,0.688434934975378,0.242454421178895,0.267863614287527
"Cdr1","ENSMUSG00000090546","MGP_CASTEiJ_G0034724","X","X",2505,1554,0,0,0,0,0,0,0,0,0,0
"Cdx4","ENSMUSG00000031326","MGP_CASTEiJ_G0034945","X","X",1963,1963,0,0,0,0,0,0,0,0,0,0
"Cenpi","ENSMUSG00000031262","MGP_CASTEiJ_G0035030","X","X",5667,5681,0.100466610789157,0,0,0,0,0,0,0,0,0
"Cetn2","ENSMUSG00000031347","MGP_CASTEiJ_G0034761","X","X",1271,1646,3.80757388545107,4.26743581737667,5.9851697259468,4.99132843512714,3.47092718607961,0.835630729765061,1.10903731607247,0.599390100433302,0.383808053674445,1.43518215024004
"Cfp","ENSMUSG00000001128","MGP_CASTEiJ_G0034579","X","X",1737,1736,2.7860831366772,4.60951390301993,2.76598517286733,3.19572892107989,2.82194617380361,0,0.876284284876768,0.947192881445099,1.09173051212236,0.850485966048067
"Chic1","ENSMUSG00000031327","MGP_CASTEiJ_G0034946","X","X",7452,7375,0.725814639257979,0.103978048537032,0.214909475991705,0.24829938879566,0.164443119427565,0,0,0.0891838287288782,0,0.0400391494795781
"Chm","ENSMUSG00000025531","MGP_CASTEiJ_G0035000","X","X",6814,6780,2.38131964708708,2.42588996833332,3.05541097683775,2.09479769479819,2.08614462302626,0.355019810779979,0.403866243861788,0.291031299502423,0.09317817940238,0.174211638591085
"Chrdl1","ENSMUSG00000031283","MGP_CASTEiJ_G0035121","X","X",6760,6758,0.0421112635608102,0,0,0.0391024312194687,0.0362553291708348,0,0,0,0,0
"Chst7","ENSMUSG00000037347","MGP_CASTEiJ_G0034566","X","X",2217,2206,0.513616854616286,0.582502193428028,0.361187509041539,0.119229785766174,0,0,0,0.149077682882021,0,0
"Cited1","ENSMUSG00000051159","MGP_CASTEiJ_G0034936","X","X",1749,1754,0,0.295347595844468,0.228917297754458,0.302266935441519,0.700646155502697,0,0,0,0.180087815378602,0.336703223958824
"Clcn5","ENSMUSG00000004317","MGP_CASTEiJ_G0034491","X","X",11484,11452,4.48673438196316,4.83546818196511,3.62583949776601,5.45513645988638,4.6311100197911,1.1410022460126,1.22208448922667,1.49327621016088,0.77230813734491,1.31503013430024
"Cldn2","ENSMUSG00000047230","MGP_CASTEiJ_G0035096","X","X",3343,3325,0.425773469445224,0.231781159945547,0.119765585932559,0.316281705107518,1.02638478992755,0,0,0.0989068777256356,0.0949997077215242,0
"Cldn34a","ENSMUSG00000091863","MGP_CASTEiJ_G0035153","X","X",636,1050,0,0,0,0,0,0,0,0,0,0
"Cldn34b4","ENSMUSG00000073085","MGP_CASTEiJ_G0034835","X","X",1141,1141,0,0,0,0,0,0,0,0,0,0
"Cldn34c4","ENSMUSG00000043569","MGP_CASTEiJ_G0035016","X","X",814,814,0,0,0,0,0,0,0,0,0,0
"Cldn34d","ENSMUSG00000079525","MGP_CASTEiJ_G0034836","X","X",1003,1003,0,0,0,0,0,0,0,0,0,0
"Cmc4","ENSMUSG00000090110","MGP_CASTEiJ_G0034823","X","X",1311,1310,0.868564886868274,1.18206623599994,0.305397676409265,0,0.186945862086074,0,0,0,0,0
